CÓDIGO PERSONA;EMPRESA;EDAD;SEXO;"ACTIVO/ CESADO 
(Data 07/12)";SEGMENTO;SEGMENTO_PERSONAL;CATEGORÍA_PERSONAL;POSICIÓN;UO3;UO2;NACIONAL/ EXTRANJERO;AGRUPADOR;EVENTO DE APRENDIZAJE;FECHA DE INICIO;FECHA DE TÉRMINO;MES DE INICIO;TOTAL HORAS POR PERSONA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSIÓN PERCAPITA (US$);DOCENTE/INSTITUCIÓN;ASISTENCIA
6533955;Rimac Seguros y Reasegrs;25;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA RIESGOS MERCADO Y CREDITO;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;EXTRANJERO;LEARNING;Otros;21/01/2020;21/01/2020;1;3;3;NEGOCIO;VIRTUAL; 975 ;GARP;ASISTIÓ
6536857;Rimac Seguros y Reasegrs;28;Masculino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA RIESGOS MERCADO Y CREDITO;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;EXTRANJERO;LEARNING;Otros;21/01/2020;21/01/2020;1;3;;NEGOCIO;VIRTUAL; 975 ;GARP;ASISTIÓ
6541070;Rimac Seguros y Reasegrs;31;Masculino;CESADO;Jefe;ADMINISTRATIVOS;JEFE;JEFE RIESGOS TECNICOS;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;EXTRANJERO;LEARNING;Otros;21/01/2020;21/01/2020;1;3;;NEGOCIO;VIRTUAL; 975 ;GARP;ASISTIÓ
6516170;Rimac Seguros y Reasegrs;30;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE RIESGOS DE MERCADO Y CREDITO;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;EXTRANJERO;LEARNING;Otros;3/02/2020;3/02/2020;2;3;3;NEGOCIO;VIRTUAL; 975 ;GARP;ASISTIÓ
6538891;Rimac Seguros y Reasegrs;27;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE RIESGOS;REASEGUROS Y COASEGUROS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;18/01/2020;8/02/2020;1;24;24;DATA ANALYTICS;PRESENCIAL; 260 ;UNIVERSIDAD NACIONAL DE INGENIERÍA;ASISTIÓ
6508535;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE RIESGOS;REASEGUROS Y COASEGUROS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;18/01/2020;8/02/2020;1;24;;DATA ANALYTICS;PRESENCIAL; 260 ;UNIVERSIDAD NACIONAL DE INGENIERÍA;ASISTIÓ
6502304;Rimac Seguros y Reasegrs;33;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE TECNICO Y SUSCRIPCION VIDA;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;EXTRANJERO;LEARNING;Otros;16/01/2020;23/02/2020;1;24;24;INNOVACIÓN;VIRTUAL; 779 ;IDEO UNIVERSITY;ASISTIÓ
6501438;Rimac Seguros y Reasegrs;32;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE PRODUCTO VIDA Y VAS;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;EXTRANJERO;LEARNING;Otros;16/01/2020;23/02/2020;1;24;;INNOVACIÓN;VIRTUAL; 779 ;IDEO UNIVERSITY;ASISTIÓ
6502217;Rimac Seguros y Reasegrs;33;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRODUCTO;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;EXTRANJERO;LEARNING;Otros;16/01/2020;23/02/2020;1;24;;INNOVACIÓN;VIRTUAL; 779 ;IDEO UNIVERSITY;ASISTIÓ
6527276;Rimac Seguros y Reasegrs;49;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;GG;GERENTE GENERAL;GERENCIA GENERAL;GERENCIA GENERAL;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;3;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6519563;Rimac Seguros y Reasegrs;44;Femenino;ACTIVO;Gerente Corporativo;GERENCIAL;VPE;VICEPRESIDENTE EJECUTIVO;DIVISION GESTION Y DESARROLLO HUMANO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6500525;Rimac Seguros y Reasegrs;52;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VPE;VICEPRESIDENTE EJECUTIVO;DIVISION LEGAL Y REGULACION;DIVISION LEGAL Y REGULACION;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6540515;Rimac Seguros y Reasegrs;43;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VPE;VICEPRESIDENTE EJECUTIVO;DIVISION SEGUROS PERSONAS Y SALUD;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6538879;Rimac Seguros y Reasegrs;53;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE TECNOLOGIA DE INFORMACION;TECNOLOGIA DE INFORMACION;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6529564;Rimac Seguros y Reasegrs;42;Femenino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE INNOVACION Y EST DIGITAL;INNOVACION Y ESTRATEGIA DIGITAL;INNOVACION Y ESTRATEGIA DIGITAL;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6500003;Rimac Seguros y Reasegrs;60;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE DE PRODUCTO;PRODUCTO VEHICULAR;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6501510;Rimac Seguros y Reasegrs;47;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE EFICIENCIA OPERATIVA;EFICIENCIA OPERATIVA;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6501137;Rimac Seguros y Reasegrs;45;Masculino;ACTIVO;Gerente Corporativo;GERENCIAL;VP;VICEPRESIDENTE COMERCIAL CORP Y ESTADO;CORPORATIVO Y ESTADO;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;18/02/2020;18/02/2020;2;3;;NEGOCIO;PRESENCIAL; 184 ;CORPORACION BRECA S.A.C;ASISTIÓ
6525018;Rimac Seguros y Reasegrs;29;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;TRADER SR;MESA DE NEGOCIACION;DIVISION INVERSIONES;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;4;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6502304;Rimac Seguros y Reasegrs;33;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE TECNICO Y SUSCRIPCION VIDA;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6500842;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE COMERCIAL CORRED ESTRATEGICO;TRIBU EMPRESAS;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6531681;Rimac Seguros y Reasegrs;34;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;PRODUCT OWNER;ESTRATEGIA DIGITAL Y DESARROLLO PRODUCTO;INNOVACION Y ESTRATEGIA DIGITAL;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6532420;Rimac Seguros y Reasegrs;28;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6529516;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE DE PRICING;PRICING;INTELIGENCIA ARTIFICIAL Y DATA;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
6538915;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE APRENDIZAJE Y GEST DEL CONOCIMIENTO;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Otros;20/02/2020;20/02/2020;2;4;;NEGOCIO;PRESENCIAL; 83 ;CORPORACION BRECA S.A.C;ASISTIÓ
