id;age;fnlwgt;education-num;race;sex;capital-gain;capital-loss;hours-per-week;native-country
2;50;83311;13; White; Male;0;0;13;USA
3;38;215646;9; White; Male;0;0;40;USA
4;53;234721;7; Black; Male;0;0;40;USA
5;28;338409;13; Black; Female;0;0;40;Others
6;37;284582;14; White; Female;0;0;40;USA
7;49;160187;5; Black; Female;0;0;16;Others
8;52;209642;9; White; Male;0;0;45;USA
9;31;45781;14; White; Female;14084;0;50;USA
10;42;159449;13; White; Male;5178;0;40;USA
11;37;280464;10; Black; Male;0;0;80;USA
12;30;141297;13;Other; Male;0;0;40;Others
13;23;122272;13; White; Female;0;0;30;USA
14;32;205019;12; Black; Male;0;0;50;USA
15;34;245487;4;Other; Male;0;0;45;Others
16;25;176756;9; White; Male;0;0;35;USA
17;32;186824;9; White; Male;0;0;40;USA
18;38;28887;7; White; Male;0;0;50;USA
19;43;292175;14; White; Female;0;0;45;USA
20;40;193524;16; White; Male;0;0;60;USA
21;54;302146;9; Black; Female;0;0;20;USA
22;35;76845;5; Black; Male;0;0;40;USA
23;43;117037;7; White; Male;0;2042;40;USA
24;59;109015;9; White; Female;0;0;40;USA
25;56;216851;13; White; Male;0;0;40;USA
26;19;168294;9; White; Male;0;0;40;USA
27;39;367260;9; White; Male;0;0;80;USA
28;49;193366;9; White; Male;0;0;40;USA
29;23;190709;12; White; Male;0;0;52;USA
30;20;266015;10; Black; Male;0;0;44;USA
31;45;386940;13; White; Male;0;1408;40;USA
32;30;59951;10; White; Male;0;0;40;USA
33;22;311512;10; Black; Male;0;0;15;USA
34;48;242406;7; White; Male;0;0;40;Others
35;21;197200;10; White; Male;0;0;40;USA
36;19;544091;9; White; Female;0;0;25;USA
37;48;265477;12; White; Male;0;0;40;USA
38;31;507875;5; White; Male;0;0;43;USA
39;53;88506;13; White; Male;0;0;40;USA
40;24;172987;13; White; Male;0;0;50;USA
41;49;94638;9; White; Female;0;0;40;USA
42;25;289980;9; White; Male;0;0;35;USA
43;57;337895;13; Black; Male;0;0;40;USA
44;53;144361;9; White; Male;0;0;38;USA
45;44;128354;14; White; Female;0;0;40;USA
46;41;101603;11; White; Male;0;0;40;USA
47;29;271466;11; White; Male;0;0;43;USA
48;25;32275;10;Other; Female;0;0;40;USA
49;47;51835;15; White; Female;0;1902;60;Others
50;50;251585;13; White; Male;0;0;55;USA
51;47;109832;9; White; Male;0;0;60;USA
52;43;237993;10; White; Male;0;0;40;USA
53;46;216666;3; White; Male;0;0;40;Others
54;35;56352;11; White; Male;0;0;40;Others
55;41;147372;9; White; Male;0;0;48;USA
56;30;188146;9; White; Male;5013;0;40;USA
57;30;59496;13; White; Male;2407;0;40;USA
58;48;149640;9; White; Male;0;0;40;USA
59;42;116632;16; White; Male;0;0;45;USA
60;29;105598;10; White; Male;0;0;58;USA
61;36;155537;9; White; Male;0;0;40;USA
62;28;183175;10; White; Female;0;0;40;USA
63;53;169846;9; White; Female;0;0;40;USA
64;49;191681;10; White; Male;0;0;50;USA
65;19;101509;10; White; Male;0;0;32;USA
66;31;309974;13; Black; Female;0;0;40;USA
67;29;162298;13; White; Male;0;0;70;USA
68;23;211678;10; White; Male;0;0;40;USA
69;79;124744;10; White; Male;0;0;20;USA
70;27;213921;9; White; Male;0;0;40;Others
71;40;32214;12; White; Male;0;0;40;USA
72;18;309634;7; White; Female;0;0;22;USA
73;31;125927;4; White; Male;0;0;40;USA
74;18;446839;9; White; Male;0;0;30;USA
75;52;276515;13; White; Male;0;0;40;Others
76;46;51618;9; White; Female;0;0;40;USA
77;59;159937;9; White; Male;0;0;48;USA
78;44;343591;9; White; Female;14344;0;40;USA
79;53;346253;9; White; Female;0;0;35;USA
80;49;268234;9; White; Male;0;0;40;USA
81;33;202051;14; White; Male;0;0;50;USA
82;30;54334;5; White; Male;0;0;40;USA
83;43;410867;16; White; Female;0;0;50;USA
84;57;249977;11; White; Male;0;0;40;USA
85;37;286730;10; White; Female;0;0;40;USA
86;28;212563;10; Black; Female;0;0;25;USA
87;34;226296;13; White; Male;0;0;40;USA
88;29;115585;10; White; Male;0;0;50;USA
89;48;191277;16; White; Male;0;1902;60;USA
90;37;202683;10; White; Male;0;0;48;USA
91;48;171095;12; White; Female;0;0;40;Others
92;32;249409;9; Black; Male;0;0;40;USA
93;76;124191;14; White; Male;0;0;40;USA
94;44;198282;13; White; Male;15024;0;60;USA
95;47;149116;14; White; Female;0;0;50;USA
96;20;188300;10; White; Female;0;0;40;USA
97;29;103432;9; White; Male;0;0;40;Others
98;32;317660;9; White; Male;7688;0;40;USA
99;30;194901;7; White; Male;0;0;40;USA
100;31;189265;9; White; Female;0;0;40;USA
101;42;124692;9; White; Male;0;0;40;USA
102;24;432376;13; White; Male;0;0;40;USA
103;38;65324;15; White; Male;0;0;40;USA
104;56;335605;9; White; Male;0;1887;50;Others
105;28;377869;10; White; Female;4064;0;25;USA
106;36;102864;9; White; Female;0;0;40;USA
107;53;95647;5; White; Male;0;0;50;USA
108;56;303090;10; White; Male;0;0;50;USA
109;49;197371;11; Black; Male;0;0;40;USA
110;55;247552;10; White; Male;0;0;56;USA
111;22;102632;9; White; Male;0;0;41;USA
112;21;199915;10; White; Female;0;0;40;USA
113;40;118853;13; White; Male;0;0;60;USA
114;30;77143;13; Black; Male;0;0;40;Others
115;29;267989;13; White; Male;0;0;50;USA
116;19;301606;10; Black; Male;0;0;35;USA
